ID,title,description,status_ID,dueDate,priority,severity,createdBy
d1c55a1b-1d85-4982-bcea-53d49cd42894,Task 1,Description for Task 1,1,2025-10-01,3,2,alice
1840040e-4fb3-4c29-a68d-5f948e2843f2,Task 2,Description for Task 2,2,2025-10-05,2,1,alice
ac89f53b-c26e-474a-b274-c888812433dd,Task 3,Description for Task 3,1,2025-10-10,1,3,alice
bf069ee9-856a-43af-85ff-5b6b2ccab9f0,Task 4,Description for Task 4,1,2025-10-15,3,2,alice
d593cce4-1f59-47a4-a6a9-807b91f26ac6,Task 5,Description for Task 5,2,2025-10-20,2,1,alice
ee3a788d-4e95-4c0b-9c5c-9064e3329dcc,Task 6,Description for Task 6,3,2025-10-25,1,3,alice
7eb9b411-5042-482b-9eaf-c7d277fd8246,Task 7,Description for Task 7,1,2025-10-30,3,2,alice
df663644-13d9-4f58-a86c-a36474f5ffa0,Task 8,Description for Task 8,2,2025-11-01,2,1,alice
92649755-19b7-45ea-b3b5-e6dae889bb11,Task 9,Description for Task 9,3,2025-11-05,1,3,alice
c894c7e5-6b4a-46d5-990e-d22bcb6b6313,Task 10,Description for Task 10,2,2025-11-10,3,2,alice
